id,location,survival_target,location_target,month_target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Upper Sacramento River,juv_rear,Upper Sacramento River,4,4543,5209,3360,5167,3164,4290,4978,1779,1556,1441,1734,976.9999999999999,690,89,72,203,540,690,733,903
1,Battle Creek,juv_rear,Upper Sacramento River,4,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
1,Clear Creek,juv_rear,Upper Sacramento River,4,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
2,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,4,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
2,Battle Creek,juv_rear,Upper-mid Sacramento River,4,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
2,Clear Creek,juv_rear,Upper-mid Sacramento River,4,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
3,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,4,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
3,Battle Creek,juv_rear,Lower-mid Sacramento River,4,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
3,Clear Creek,juv_rear,Lower-mid Sacramento River,4,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
4,Upper Sacramento River,juv_rear,Lower Sacramento River,4,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
4,Battle Creek,juv_rear,Lower Sacramento River,4,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
4,Clear Creek,juv_rear,Lower Sacramento River,4,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
5,Upper Sacramento River,juv_rear,Sutter Bypass,4,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
5,Battle Creek,juv_rear,Sutter Bypass,4,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
5,Clear Creek,juv_rear,Sutter Bypass,4,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
6,Upper Sacramento River,juv_rear,Yolo Bypass,4,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
6,Battle Creek,juv_rear,Yolo Bypass,4,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
6,Clear Creek,juv_rear,Yolo Bypass,4,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
7,Upper Sacramento River,juv_rear,Battle Creek,4,4543,5209,3359,5164,3155,4277,4970,1779,1556,1437,1728,972,681,89,72,201,536,684,721,893.0000000000001
7,Battle Creek,juv_rear,Battle Creek,4,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
7,Clear Creek,juv_rear,Battle Creek,4,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
8,Upper Sacramento River,juv_rear,Clear Creek,4,4543,5209,3359,5164,3155,4275,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
8,Battle Creek,juv_rear,Clear Creek,4,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
8,Clear Creek,juv_rear,Clear Creek,4,172,205,194,406,311,502,618,226,225,221,279,186,130,22,28,32,56,68,68,80
9,Upper Sacramento River,juv_rear,Upper Sacramento River,5,4543,5209,3363,5177,3177,4311,4999,1783,1558,1444,1734,976.9999999999999,689,89,72,201,539,690,730,901
9,Battle Creek,juv_rear,Upper Sacramento River,5,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
9,Clear Creek,juv_rear,Upper Sacramento River,5,172,205,192,405,311,502,616,224,224,221,279,184,128,22,28,32,56,68,68,80
10,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,5,4543,5209,3371,5184,3159,4518,5285,1797,1558,1442,1734,973,683,89,72,223,565,707,761,925
10,Battle Creek,juv_rear,Upper-mid Sacramento River,5,6,5,10.999999999999998,12,5,6,8,6,5,10,12,10,8,0,0,8,16,14,6,2
10,Clear Creek,juv_rear,Upper-mid Sacramento River,5,172,205,194,406,311,506,624,228,225,223,284,186,130,22,30,34,58,72,78,92
11,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,5,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
11,Battle Creek,juv_rear,Lower-mid Sacramento River,5,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
11,Clear Creek,juv_rear,Lower-mid Sacramento River,5,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
12,Upper Sacramento River,juv_rear,Lower Sacramento River,5,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
12,Battle Creek,juv_rear,Lower Sacramento River,5,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
12,Clear Creek,juv_rear,Lower Sacramento River,5,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
13,Upper Sacramento River,juv_rear,Sutter Bypass,5,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
13,Battle Creek,juv_rear,Sutter Bypass,5,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
13,Clear Creek,juv_rear,Sutter Bypass,5,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
14,Upper Sacramento River,juv_rear,Yolo Bypass,5,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
14,Battle Creek,juv_rear,Yolo Bypass,5,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
14,Clear Creek,juv_rear,Yolo Bypass,5,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
15,Upper Sacramento River,juv_rear,Battle Creek,5,4543,5209,3358,5164,3155,4275,4970,1779,1555,1435,1728,972,681,89,72,201,536,686,721,893.0000000000001
15,Battle Creek,juv_rear,Battle Creek,5,6,5,10.999999999999998,12,5,6,7,8,7,10,14,10,10,0,0,10,20,16,8,2
15,Clear Creek,juv_rear,Battle Creek,5,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
